PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
HD 143761 b,39.8458,0.2196,17.236,0
HD 143761 c,102.54,0.4123,17.236,0
Kepler-9 b,19.22418,0.14300000000000002,650.0,0
Kepler-9 c,39.03106,0.22899999999999998,650.0,0
Kepler-9 d,1.592851,0.0271,650.0,0
GJ 160.2 b,5.2354,0.053,43.25,1
WASP-124 b,3.37265,0.0449,433.0,0
HD 240210 b,501.75,1.33,143.0,0
OGLE-05-390L b,3500.0,2.1,6500.0,0
WASP-82 b,2.705782,0.0447,200.0,0
Gliese 1214 b,1.58040417,0.01488,14.55,0
Kepler-153 b,18.870227,0.13871537490065655,626.1,0
Kepler-153 c,46.90232,0.2545282943438669,626.1,0
HD 4203 b,437.05,1.1735,77.82,0
HD 4203 c,6700.0,6.95,77.82,0
HD 179079 b,14.475999999999999,0.11,63.69,0
HD 187123 b,3.0965886,0.04213,48.3,0
HD 187123 c,3324.0,4.417,48.3,0
Kepler-131 b,16.092,0.12474214265933413,226.3,0
Kepler-131 c,25.5169,0.16962575408134253,226.3,0
HD 114729 A b,1135.0,2.08,35.0,2
CoRoT-24 b,5.1134,0.055999999999999994,600.0,0
CoRoT-24 c,11.759,0.098,600.0,0
Kepler-211 c,6.04045,0.0649111613695975,327.93,0
Kepler-211 b,4.138575,0.050447587650683724,327.93,0
Kepler-294 c,6.6264,0.06904384185985417,1698.68,0
Kepler-294 b,3.7012120000000004,0.04682766376041615,1698.68,0
HD 164595 b,40.0,0.23,28.93,0
Kepler-257 c,6.581484,0.06873148650694551,1167.03,0
Kepler-257 b,2.3826669999999996,0.03491259122563887,1167.03,0
Kepler-257 d,24.664551,0.16582703140321478,1167.03,0
Kepler-214 c,28.7798,0.18379415588086662,1070.66,0
Kepler-214 b,15.660544,0.1225023480217332,1070.66,0
Kepler-130 c,27.508653000000002,0.17600000000000002,266.39,0
Kepler-130 b,8.457458,0.08,266.39,0
Kepler-130 d,87.517905,0.381,266.39,0
WASP-108 b,2.6755463,0.0397,220.0,0
K2-34 b,2.995607,0.04419,377.0,0
Kepler-189 c,20.134866,0.14484572416087121,650.34,0
Kepler-189 b,10.399931,0.09324527244222267,650.34,0
Kepler-327 b,2.549575,0.036524564381109625,241.74,0
Kepler-327 d,13.969457,0.11351664152817739,241.74,0
Kepler-327 c,5.212333,0.058833942635154984,241.74,0
Kepler-101 b,3.4876812000000004,0.0474,990.44,0
Kepler-101 c,6.02976,0.0684,990.44,0
Kepler-156 c,15.906801000000002,0.12378321229754952,482.88,0
Kepler-156 b,4.973456,0.057022383991348215,482.88,0
HIP 11952 b,290.0,0.81,111.0,1
HIP 11952 c,6.95,0.07,111.0,1
HD 122430 b,344.95,1.02,135.0,1
Kepler-344 b,21.963945000000002,0.15348999853368944,1307.52,0
Kepler-344 c,125.59680900000001,0.4908237704278424,1307.52,0
Kepler-227 b,9.488014999999999,0.08771154453383526,1481.07,0
Kepler-227 c,54.418693999999995,0.28104245263614336,1481.07,0
Kepler-404 b,11.829851,0.10160756256855318,1059.76,0
Kepler-404 c,14.751166,0.11771290666576904,1059.76,0
Gliese 86 b,15.76491,0.113,10.783,2
