,PlanetIdentifier,RightAscension,DeclinationAccurate,AngleBtwEarthExoplanetInDeg
0,HD 143761 b,57663.0,33.30361111111111,85.02347423666409
1,HD 143761 c,57663.0,33.30361111111111,85.02347423666409
2,KOI-1843.03,68403.14,40.22075,46.54184300303357
3,KOI-1843.01,68403.14,40.22075,46.54184300303357
4,KOI-1843.02,68403.14,40.22075,46.54184300303357
5,Kepler-9 b,68537.0,38.40083333333333,97.12320480036784
6,Kepler-9 c,68537.0,38.40083333333333,97.12320480036784
7,Kepler-9 d,68537.0,38.40083333333333,97.12320480036784
8,GJ 160.2 b,14794.84136,-19.146878027777777,122.44119412620417
9,Kepler-566 b,69973.0,47.81444444444444,116.26145191003239
10,WASP-124 b,79851.43,-29.250333333333334,40.94864977948161
11,HD 240210 b,83429.2303,57.02945416666667,54.37497473926788
12,OGLE-05-390L b,64459.0,-29.622777777777777,58.30398945336153
13,Kepler-1343 b,70631.0,50.72527777777778,23.016706986714727
14,Kepler-1011 b,71376.0,46.823888888888895,5.922177752565742
15,WASP-82 b,17439.0,1.893888888888889,77.50303751660756
16,Gliese 1214 b,62118.94,4.963805555555556,107.51437446208347
17,Kepler-153 b,67790.0,48.25694444444444,114.0009012947186
18,Kepler-153 c,67790.0,48.25694444444444,114.0009012947186
19,HD 4203 b,2681.0,20.448888888888888,65.9233340279434
20,HD 4203 c,2681.0,20.448888888888888,65.9233340279434
21,HD 179079 b,69070.0,-1.3616666666666668,125.05936844727556
22,Kepler-1368 b,70744.0,41.64472222222222,146.2333793631194
23,HD 187123 b,71218.1,34.41952777777777,47.320941268509934
24,HD 187123 c,71218.1,34.41952777777777,47.320941268509934
25,Kepler-1111 b,70911.0,45.812777777777775,52.02799702065463
26,Kepler-1289 b,71133.0,41.04055555555556,119.4783800336321
27,Kepler-431 b,67466.96,43.22777777777778,133.48042603362077
28,Kepler-431 c,67466.96,43.22777777777778,133.48042603362077
29,Kepler-431 d,67466.96,43.22777777777778,133.48042603362077
30,Kepler-131 b,69247.0,40.94222222222222,63.14612993933435
31,Kepler-131 c,69247.0,40.94222222222222,63.14612993933435
32,Kepler-548 b,71977.0,45.439722222222215,63.280081756232185
33,HD 114729 A b,47564.0,-30.126666666666665,72.37295953836059
34,CoRoT-24 b,24461.0,-2.2805555555555554,106.5232360891754
35,CoRoT-24 c,24461.0,-2.2805555555555554,106.5232360891754
36,Kepler-1105 b,67467.0,42.455000000000005,114.72943322076172
37,Kepler-211 c,68505.0,43.16833333333333,149.54868191910447
38,Kepler-211 b,68505.0,43.16833333333333,149.54868191910447
39,Kepler-294 c,68974.0,46.05916666666666,76.48988143043549
40,Kepler-294 b,68974.0,46.05916666666666,76.48988143043549
41,HD 164595 b,64838.89431,29.571922277777777,126.09573963095195
42,Kepler-257 c,71355.0,46.02305555555555,82.92648612719114
43,Kepler-257 b,71355.0,46.02305555555555,82.92648612719114
44,Kepler-257 d,71355.0,46.02305555555555,82.92648612719114
45,Kepler-214 c,68341.0,44.95583333333334,100.40230653065284
46,Kepler-214 b,68341.0,44.95583333333334,100.40230653065284
47,Kepler-1112 b,71273.0,47.75138888888889,144.19303198876577
48,Kepler-130 c,69228.0,40.24527777777778,43.88155759630287
49,Kepler-130 b,69228.0,40.24527777777778,43.88155759630287
50,Kepler-130 d,69228.0,40.24527777777778,43.88155759630287
51,WASP-108 b,46998.73,-48.36033333333334,66.78432103445188
52,K2-34 b,30619.0,22.235833333333336,119.22457891280067
53,Kepler-815 b,68453.0,47.88138888888889,95.76774887299474
54,Kepler-1145 b,70874.0,43.044444444444444,138.30052685516628
55,38 Vir b,46391.16,-2.446888888888889,159.36044891286562
56,Kepler-1575 b,70498.0,45.76166666666666,68.35235837124316
57,Kepler-1380 b,69148.0,42.440555555555555,111.73641980848195
58,Kepler-189 c,69015.0,44.30472222222222,87.3250303576741
59,Kepler-189 b,69015.0,44.30472222222222,87.3250303576741
60,Kepler-327 b,70234.0,44.087500000000006,89.05975419396302
61,Kepler-327 d,70234.0,44.087500000000006,89.05975419396302
62,Kepler-327 c,70234.0,44.087500000000006,89.05975419396302
63,Kepler-1071 b,70334.0,45.24888888888889,76.78905567172907
64,Kepler-101 b,67981.32,48.35523333333334,115.24236659240829
65,Kepler-101 c,67981.32,48.35523333333334,115.24236659240829
66,Kepler-156 c,69671.0,37.74944444444444,53.21530152665005
67,Kepler-156 b,69671.0,37.74944444444444,53.21530152665005
68,HIP 11952 b,9251.0,-11.615833333333335,31.354674759490702
69,HIP 11952 c,9251.0,-11.615833333333335,31.354674759490702
70,HD 122430 b,50542.0,-26.570277777777775,116.75373588071096
71,Kepler-827 b,70792.0,42.70861111111111,128.98353564949397
72,Kepler-344 b,70199.0,46.32416666666667,90.493671427529
73,Kepler-344 c,70199.0,46.32416666666667,90.493671427529
74,Kepler-859 b,68818.0,43.19,139.159581617855
75,Kepler-227 b,70064.0,48.14138888888889,98.86560388556646
76,Kepler-227 c,70064.0,48.14138888888889,98.86560388556646
77,Kepler-843 b,71117.0,48.97138888888889,115.07657347542082
78,Kepler-404 b,68735.0,45.343333333333334,61.73514611013868
79,Kepler-404 c,68735.0,45.343333333333334,61.73514611013868
80,Kepler-1483 b,70898.0,42.15083333333333,99.68760498575524
81,Gliese 86 b,7825.93425,-49.176272805555556,60.276221396038686
82,Kepler-1314 b,70617.0,45.197222222222216,74.1734532479038
83,Kepler-1099 b,69299.9,48.27722222222222,133.36167659623683
84,HD 145377 b,58296.44543,-26.921825388888887,118.2563375955669
85,HD 75289 A b,31660.0,-40.263333333333335,56.196960101853904
86,HD 5608 b,3494.21893,33.95088452777778,85.18792020169198
87,HATS-28 b,68256.0,-48.13861111111111,96.59700095186528
88,Kepler-1187 b,68854.0,38.31861111111112,36.942220323813615
89,HD 68988 b,29902.0,61.46055555555556,115.57165303332157
90,Kepler-1612 b,69900.0,45.655,61.96161598959792
91,HD 183263 b,70104.6,8.358027777777778,85.13102448507681
