,PlanetIdentifier,PeriodDays,SemiMajorAxisAU
0,HD 143761 b,39.8458,0.2196
1,HD 143761 c,102.54,0.4123
2,KOI-1843.03,0.17689129999999997,0.0048
3,KOI-1843.01,4.194525,0.039
4,KOI-1843.02,6.356006,0.052000000000000005
5,Kepler-9 b,19.22418,0.14300000000000002
6,Kepler-9 c,39.03106,0.22899999999999998
7,Kepler-9 d,1.592851,0.0271
8,GJ 160.2 b,5.2354,0.053
9,Kepler-566 b,18.42794624,0.13653934275508187
10,WASP-124 b,3.37265,0.0449
11,HD 240210 b,501.75,1.33
12,OGLE-05-390L b,3500.0,2.1
13,Kepler-1343 b,3.35183158,0.043832338624421326
14,Kepler-1011 b,5.75322197,0.06283678218197199
15,WASP-82 b,2.705782,0.0447
16,Gliese 1214 b,1.58040417,0.01488
17,Kepler-153 b,18.870227,0.13871537490065655
18,Kepler-153 c,46.90232,0.2545282943438669
19,HD 4203 b,437.05,1.1735
20,HD 4203 c,6700.0,6.95
21,HD 179079 b,14.475999999999999,0.11
22,Kepler-1368 b,0.67564949,0.015069105929026546
23,HD 187123 b,3.0965886,0.04213
24,HD 187123 c,3324.0,4.417
25,Kepler-1111 b,8.79617863,0.083394205812603
26,Kepler-1289 b,7.99019627,0.07821885996658608
27,Kepler-431 b,6.803,0.0719
28,Kepler-431 c,8.703,0.0847
29,Kepler-431 d,11.922,0.1045
30,Kepler-131 b,16.092,0.12474214265933413
31,Kepler-131 c,25.5169,0.16962575408134253
32,Kepler-548 b,4.45419434,0.052980895109942736
33,HD 114729 A b,1135.0,2.08
34,CoRoT-24 b,5.1134,0.055999999999999994
35,CoRoT-24 c,11.759,0.098
36,Kepler-1105 b,4.42157218,0.052721893111765256
37,Kepler-211 c,6.04045,0.0649111613695975
38,Kepler-211 b,4.138575,0.050447587650683724
39,Kepler-294 c,6.6264,0.06904384185985417
40,Kepler-294 b,3.7012120000000004,0.04682766376041615
41,HD 164595 b,40.0,0.23
42,Kepler-257 c,6.581484,0.06873148650694551
