PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec,ListsPlanetIsOn
HD 143761 b,0,57663.0,33.30361111111111,240.26250019220998,85.02347423666409,17.236,0
HD 143761 c,0,57663.0,33.30361111111111,240.26250019220998,85.02347423666409,17.236,0
Kepler-9 b,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0,0
Kepler-9 c,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0,0
Kepler-9 d,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0,0
GJ 160.2 b,0,14794.84136,-19.146878027777777,61.64517238264947,122.44119412620417,43.25,1
WASP-124 b,0,79851.43,-29.250333333333334,332.7142919328381,40.94864977948161,433.0,0
HD 240210 b,0,83429.2303,57.02945416666667,347.62179319476405,54.37497473926788,143.0,0
OGLE-05-390L b,0,64459.0,-29.622777777777777,268.57916688153,58.30398945336153,6500.0,0
WASP-82 b,0,17439.0,1.893888888888889,72.66250005813,77.50303751660756,200.0,0
Gliese 1214 b,0,62118.94,4.963805555555556,258.8289168737298,107.51437446208347,14.55,0
Kepler-153 b,0,67790.0,48.25694444444444,282.4583335593,114.0009012947186,626.1,0
Kepler-153 c,0,67790.0,48.25694444444444,282.4583335593,114.0009012947186,626.1,0
HD 4203 b,0,2681.0,20.448888888888888,11.170833342269999,65.9233340279434,77.82,0
HD 4203 c,0,2681.0,20.448888888888888,11.170833342269999,65.9233340279434,77.82,0
HD 179079 b,0,69070.0,-1.3616666666666668,287.7916668969,125.05936844727556,63.69,0
HD 187123 b,0,71218.1,34.41952777777777,296.74208357072695,47.320941268509934,48.3,0
HD 187123 c,0,71218.1,34.41952777777777,296.74208357072695,47.320941268509934,48.3,0
Kepler-131 b,0,69247.0,40.94222222222222,288.52916689749,63.14612993933435,226.3,0
Kepler-131 c,0,69247.0,40.94222222222222,288.52916689749,63.14612993933435,226.3,0
HD 114729 A b,2,47564.0,-30.126666666666665,198.18333349187998,72.37295953836059,35.0,2
CoRoT-24 b,0,24461.0,-2.2805555555555554,101.92083341486999,106.5232360891754,600.0,0
CoRoT-24 c,0,24461.0,-2.2805555555555554,101.92083341486999,106.5232360891754,600.0,0
Kepler-211 c,0,68505.0,43.16833333333333,285.43750022834996,149.54868191910447,327.93,0
Kepler-211 b,0,68505.0,43.16833333333333,285.43750022834996,149.54868191910447,327.93,0
Kepler-294 c,0,68974.0,46.05916666666666,287.39166689658,76.48988143043549,1698.68,0
Kepler-294 b,0,68974.0,46.05916666666666,287.39166689658,76.48988143043549,1698.68,0
HD 164595 b,0,64838.89431,29.571922277777777,270.16205984112963,126.09573963095195,28.93,0
Kepler-257 c,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03,0
Kepler-257 b,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03,0
Kepler-257 d,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03,0
Kepler-214 c,0,68341.0,44.95583333333334,284.75416689446996,100.40230653065284,1070.66,0
Kepler-214 b,0,68341.0,44.95583333333334,284.75416689446996,100.40230653065284,1070.66,0
Kepler-130 c,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39,0
Kepler-130 b,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39,0
Kepler-130 d,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39,0
WASP-108 b,0,46998.73,-48.36033333333334,195.8280418233291,66.78432103445188,220.0,0
K2-34 b,0,30619.0,22.235833333333336,127.57916676872999,119.22457891280067,377.0,0
Kepler-189 c,0,69015.0,44.30472222222222,287.56250023005,87.3250303576741,650.34,0
Kepler-189 b,0,69015.0,44.30472222222222,287.56250023005,87.3250303576741,650.34,0
Kepler-327 b,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74,0
Kepler-327 d,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74,0
Kepler-327 c,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74,0
Kepler-101 b,0,67981.32,48.35523333333334,283.2555002266044,115.24236659240829,990.44,0
Kepler-101 c,0,67981.32,48.35523333333334,283.2555002266044,115.24236659240829,990.44,0
Kepler-156 c,0,69671.0,37.74944444444444,290.29583356557,53.21530152665005,482.88,0
Kepler-156 b,0,69671.0,37.74944444444444,290.29583356557,53.21530152665005,482.88,0
HIP 11952 b,0,9251.0,-11.615833333333335,38.545833364169994,31.354674759490702,111.0,1
HIP 11952 c,0,9251.0,-11.615833333333335,38.545833364169994,31.354674759490702,111.0,1
HD 122430 b,0,50542.0,-26.570277777777775,210.59166683514,116.75373588071096,135.0,1
Kepler-344 b,0,70199.0,46.32416666666667,292.49583356732995,90.493671427529,1307.52,0
Kepler-344 c,0,70199.0,46.32416666666667,292.49583356732995,90.493671427529,1307.52,0
Kepler-227 b,0,70064.0,48.14138888888889,291.93333356688,98.86560388556646,1481.07,0
Kepler-227 c,0,70064.0,48.14138888888889,291.93333356688,98.86560388556646,1481.07,0
Kepler-404 b,0,68735.0,45.343333333333334,286.39583356245,61.73514611013868,1059.76,0
Kepler-404 c,0,68735.0,45.343333333333334,286.39583356245,61.73514611013868,1059.76,0
Gliese 86 b,2,7825.93425,-49.176272805555556,32.60805940108644,60.276221396038686,10.783,2
HD 145377 b,0,58296.44543,-26.921825388888887,242.9018561526548,118.2563375955669,55.0,0
HD 75289 A b,2,31660.0,-40.263333333333335,131.9166667722,56.196960101853904,28.94,2
HD 5608 b,0,3494.21893,33.95088452777778,14.559245553314062,85.18792020169198,56.4,0
HATS-28 b,0,68256.0,-48.13861111111111,284.40000022751997,96.59700095186528,521.0,0
HD 68988 b,0,29902.0,61.46055555555556,124.59166676633998,115.57165303332157,58.0,0
HD 183263 b,0,70104.6,8.358027777777778,292.10250023368195,85.13102448507681,55.1,0
HD 183263 c,0,70104.6,8.358027777777778,292.10250023368195,85.13102448507681,55.1,0
HD 154672 b,0,61805.0,-55.55083333333334,257.52083353934995,66.64621171518552,65.8,0
Kepler-196 b,0,68392.0,42.07916666666667,284.96666689463996,96.3220264530068,470.92,0
Kepler-196 c,0,68392.0,42.07916666666667,284.96666689463996,96.3220264530068,470.92,0
beta Ursae Minoris b,0,53442.3258,74.15550394444445,222.67635767814107,113.85805706212076,40.14,0
Kepler-225 c,0,70126.0,47.456944444444446,292.19166690042,46.69616776539054,342.18,0
Kepler-225 b,0,70126.0,47.456944444444446,292.19166690042,46.69616776539054,342.18,0
Kepler-409 b,0,70483.0,46.8525,293.67916690160996,42.87667892624663,69.2,0
OGLE-TR-10 b,0,64288.0,-28.12388888888889,267.86666688096,44.749065942625776,1500.0,0
Kepler-128 b,0,67798.128,43.98017777777778,282.4922002259937,32.41644605061432,368.14,0
Kepler-128 c,0,67798.128,43.98017777777778,282.4922002259937,32.41644605061432,368.14,0
WASP-11 b,2,11369.0,30.67361111111111,47.37083337123,72.11721188799629,121.7,2
HATS-18 b,0,41750.0,-28.156111111111112,173.9583334725,52.78969674149971,645.0,0
KELT-16 b,0,75424.0,31.66111111111111,314.26666691808,81.35074757042982,365.0,0
HD 106315 b,0,44033.0,0.6063888888888889,183.47083348010997,83.40140230307645,107.3,0
HD 106315 c,0,44033.0,0.6063888888888889,183.47083348010997,83.40140230307645,107.3,0
EPIC 206011691 b,0,81672.89,-13.51101388888889,340.3037086055763,119.31536549625511,65.0,0
EPIC 206011691 c,0,81672.89,-13.51101388888889,340.3037086055763,119.31536549625511,65.0,0
WASP-62 b,0,20913.59,-62.011583333333334,87.13995840304528,51.12213268875065,160.0,0
Kepler-150 c,0,69176.0,40.520833333333336,288.23333356392,47.241380509896516,973.33,0
Kepler-150 d,0,69176.0,40.520833333333336,288.23333356392,47.241380509896516,973.33,0
Kepler-150 e,0,69176.0,40.520833333333336,288.23333356392,47.241380509896516,973.33,0
Kepler-150 b,0,69176.0,40.520833333333336,288.23333356392,47.241380509896516,973.33,0
WASP-14 b,2,52386.0,21.89472222222222,218.27500017461998,120.5572710065864,160.0,2
HD 2952 b,0,1990.0,54.89472222222222,8.2916666733,109.68366247929019,115.0,0
Kepler-173 c,0,70715.0,41.88388888888889,294.64583356904996,101.42978613864932,809.64,0
Kepler-173 b,0,70715.0,41.88388888888889,294.64583356904996,101.42978613864932,809.64,0
KOI-1299 b,2,70387.73,48.285888888888884,293.28220856795906,116.44258221966268,870.0,2
KOI-1299 c,2,70387.73,48.285888888888884,293.28220856795906,116.44258221966268,870.0,3
Kepler-34 (AB) b,1,71145.0,44.641666666666666,296.43750023714995,79.8737538168367,1500.0,4
Rho Coronae Borealis b,0,57662.662,33.30350833333333,240.2610918588755,84.39158681867636,17.24,1
Kepler-260 b,0,70062.0,38.013888888888886,291.92500023353995,118.77132175700382,539.35,0
Kepler-260 c,0,70062.0,38.013888888888886,291.92500023353995,118.77132175700382,539.35,0
KELT-10 b,0,68291.601,-46.99675555555555,284.5483377276386,47.380031009586155,183.0,0
Gliese 3634 b,0,39515.0,-30.855833333333333,164.64583346504998,100.84900681700313,19.8,0
HD 156279 b,0,61943.0,63.352222222222224,258.09583353981,61.359305685004635,36.6,0
Kepler-247 c,0,69274.0,43.03916666666667,288.64166689757997,78.29678721045191,695.58,0
Kepler-247 d,0,69274.0,43.03916666666667,288.64166689757997,78.29678721045191,695.58,0
Kepler-247 b,0,69274.0,43.03916666666667,288.64166689757997,78.29678721045191,695.58,0
Kepler-166 b,0,70358.0,48.88111111111111,293.15833356786,123.70400064988188,639.62,0
