,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
0,HD 143761 b,0,57663.0,33.30361111111111,240.26250019220998,85.02347423666409,17.236
1,HD 143761 c,0,57663.0,33.30361111111111,240.26250019220998,85.02347423666409,17.236
2,KOI-1843.03,0,68403.14,40.22075,285.01308356134376,46.54184300303357,
3,KOI-1843.01,0,68403.14,40.22075,285.01308356134376,46.54184300303357,
4,KOI-1843.02,0,68403.14,40.22075,285.01308356134376,46.54184300303357,
5,Kepler-9 b,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0
6,Kepler-9 c,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0
7,Kepler-9 d,0,68537.0,38.40083333333333,285.57083356179,97.12320480036784,650.0
8,GJ 160.2 b,0,14794.84136,-19.146878027777777,61.64517238264947,122.44119412620417,43.25
9,Kepler-566 b,0,69973.0,47.81444444444444,291.55416689991,116.26145191003239,
10,WASP-124 b,0,79851.43,-29.250333333333334,332.7142919328381,40.94864977948161,433.0
11,HD 240210 b,0,83429.2303,57.02945416666667,347.62179319476405,54.37497473926788,143.0
12,OGLE-05-390L b,0,64459.0,-29.622777777777777,268.57916688153,58.30398945336153,6500.0
13,Kepler-1343 b,0,70631.0,50.72527777777778,294.29583356877,23.016706986714727,
14,Kepler-1011 b,0,71376.0,46.823888888888895,297.40000023792,5.922177752565742,
15,WASP-82 b,0,17439.0,1.893888888888889,72.66250005813,77.50303751660756,200.0
16,Gliese 1214 b,0,62118.94,4.963805555555556,258.8289168737298,107.51437446208347,14.55
17,Kepler-153 b,0,67790.0,48.25694444444444,282.4583335593,114.0009012947186,626.1
18,Kepler-153 c,0,67790.0,48.25694444444444,282.4583335593,114.0009012947186,626.1
19,HD 4203 b,0,2681.0,20.448888888888888,11.170833342269999,65.9233340279434,77.82
20,HD 4203 c,0,2681.0,20.448888888888888,11.170833342269999,65.9233340279434,77.82
21,HD 179079 b,0,69070.0,-1.3616666666666668,287.7916668969,125.05936844727556,63.69
22,Kepler-1368 b,0,70744.0,41.64472222222222,294.76666690248,146.2333793631194,
23,HD 187123 b,0,71218.1,34.41952777777777,296.74208357072695,47.320941268509934,48.3
24,HD 187123 c,0,71218.1,34.41952777777777,296.74208357072695,47.320941268509934,48.3
25,Kepler-1111 b,0,70911.0,45.812777777777775,295.46250023637,52.02799702065463,
26,Kepler-1289 b,0,71133.0,41.04055555555556,296.38750023711,119.4783800336321,
27,Kepler-431 b,0,67466.96,43.22777777777778,281.1123335582232,133.48042603362077,
28,Kepler-431 c,0,67466.96,43.22777777777778,281.1123335582232,133.48042603362077,
29,Kepler-431 d,0,67466.96,43.22777777777778,281.1123335582232,133.48042603362077,
30,Kepler-131 b,0,69247.0,40.94222222222222,288.52916689749,63.14612993933435,226.3
31,Kepler-131 c,0,69247.0,40.94222222222222,288.52916689749,63.14612993933435,226.3
32,Kepler-548 b,0,71977.0,45.439722222222215,299.90416690659,63.280081756232185,
33,HD 114729 A b,2,47564.0,-30.126666666666665,198.18333349187998,72.37295953836059,35.0
34,CoRoT-24 b,0,24461.0,-2.2805555555555554,101.92083341486999,106.5232360891754,600.0
35,CoRoT-24 c,0,24461.0,-2.2805555555555554,101.92083341486999,106.5232360891754,600.0
36,Kepler-1105 b,0,67467.0,42.455000000000005,281.11250022488997,114.72943322076172,
37,Kepler-211 c,0,68505.0,43.16833333333333,285.43750022834996,149.54868191910447,327.93
38,Kepler-211 b,0,68505.0,43.16833333333333,285.43750022834996,149.54868191910447,327.93
39,Kepler-294 c,0,68974.0,46.05916666666666,287.39166689658,76.48988143043549,1698.68
40,Kepler-294 b,0,68974.0,46.05916666666666,287.39166689658,76.48988143043549,1698.68
41,HD 164595 b,0,64838.89431,29.571922277777777,270.16205984112963,126.09573963095195,28.93
42,Kepler-257 c,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03
43,Kepler-257 b,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03
44,Kepler-257 d,0,71355.0,46.02305555555555,297.31250023785,82.92648612719114,1167.03
45,Kepler-214 c,0,68341.0,44.95583333333334,284.75416689446996,100.40230653065284,1070.66
46,Kepler-214 b,0,68341.0,44.95583333333334,284.75416689446996,100.40230653065284,1070.66
47,Kepler-1112 b,0,71273.0,47.75138888888889,296.97083357091,144.19303198876577,
48,Kepler-130 c,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39
49,Kepler-130 b,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39
50,Kepler-130 d,0,69228.0,40.24527777777778,288.45000023076,43.88155759630287,266.39
51,WASP-108 b,0,46998.73,-48.36033333333334,195.8280418233291,66.78432103445188,220.0
52,K2-34 b,0,30619.0,22.235833333333336,127.57916676872999,119.22457891280067,377.0
53,Kepler-815 b,0,68453.0,47.88138888888889,285.22083356150995,95.76774887299474,
54,Kepler-1145 b,0,70874.0,43.044444444444444,295.30833356958,138.30052685516628,
55,38 Vir b,0,46391.16,-2.446888888888889,193.2965001546372,159.36044891286562,
56,Kepler-1575 b,0,70498.0,45.76166666666666,293.74166690166,68.35235837124316,
57,Kepler-1380 b,0,69148.0,42.440555555555555,288.11666689716,111.73641980848195,
58,Kepler-189 c,0,69015.0,44.30472222222222,287.56250023005,87.3250303576741,650.34
59,Kepler-189 b,0,69015.0,44.30472222222222,287.56250023005,87.3250303576741,650.34
60,Kepler-327 b,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74
61,Kepler-327 d,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74
62,Kepler-327 c,0,70234.0,44.087500000000006,292.64166690077997,89.05975419396302,241.74
63,Kepler-1071 b,0,70334.0,45.24888888888889,293.05833356778,76.78905567172907,
64,Kepler-101 b,0,67981.32,48.35523333333334,283.2555002266044,115.24236659240829,990.44
